id	phase	family	bnf_file	oracle_mode	expect	reference_class	sql	setup	cleanup	min_version	notes
compat_select_034	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT /*+ FULL(e) */ * FROM employees e	none	none	23ai	hint
compat_select_035	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees SAMPLE (10)	none	none	23ai	sample clause
compat_select_036	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees AS OF TIMESTAMP SYSTIMESTAMP	none	none	23ai	flashback query
compat_select_037	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, SUM(salary) FROM employees GROUP BY ROLLUP(department_id)	none	none	23ai	rollup
compat_select_038	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, SUM(salary) FROM employees GROUP BY CUBE(department_id)	none	none	23ai	cube
compat_select_039	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, SUM(salary) FROM employees GROUP BY GROUPING SETS ((department_id), ())	none	none	23ai	grouping sets
compat_select_040	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM JSON_TABLE('{"id":1}', '$' COLUMNS (id NUMBER PATH '$.id')) jt	none	none	23ai	json_table
compat_select_041	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM XMLTABLE('/r' PASSING XMLTYPE('<r><id>1</id></r>') COLUMNS id NUMBER PATH 'id') xt	none	none	23ai	xmltable
compat_select_042	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT	none	none	23ai	missing select list
compat_select_043	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT FROM dual	none	none	23ai	missing select expression
compat_select_044	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT 1 + FROM dual	none	none	23ai	missing rhs expression
compat_select_045	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM	none	none	23ai	missing table
compat_select_046	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM WHERE	none	none	23ai	illegal table token
compat_select_047	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE	none	none	23ai	missing predicate
compat_select_048	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE salary BETWEEN 1 AND	none	none	23ai	missing between upper
compat_select_049	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE department_id IN (10,	none	none	23ai	unclosed in list
compat_select_050	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE last_name LIKE	none	none	23ai	missing like pattern
compat_select_051	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees GROUP BY	none	none	23ai	missing group expr
compat_select_052	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees ORDER BY	none	none	23ai	missing order expr
compat_select_053	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees FETCH FIRST 5	none	none	23ai	malformed fetch
compat_select_054	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees JOIN departments ON	none	none	23ai	missing join predicate
compat_select_055	A	select	SELECT.bnf	parse_only	reject	syntax	WITH q AS SELECT 1 FROM dual SELECT * FROM q	none	none	23ai	malformed with
compat_setop_001	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 1 FROM dual UNION SELECT 2 FROM dual	none	none	23ai	union
compat_setop_002	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 1 FROM dual UNION ALL SELECT 2 FROM dual	none	none	23ai	union all
compat_setop_003	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 1 FROM dual INTERSECT SELECT 1 FROM dual	none	none	23ai	intersect
compat_setop_004	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 1 FROM dual MINUS SELECT 2 FROM dual	none	none	23ai	minus
compat_setop_005	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT 1 FROM dual UNION	none	none	23ai	trailing union
compat_setop_006	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT 1 FROM dual INTERSECT	none	none	23ai	trailing intersect
compat_dml_001	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t (a) VALUES (1)	none	none	23ai	insert values
compat_dml_002	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t (a, b) VALUES (1, 2)	none	none	23ai	insert multiple values
compat_dml_003	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t (a) SELECT employee_id FROM employees	none	none	23ai	insert select
compat_dml_004	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t (a) VALUES (:id)	none	none	23ai	insert bind
compat_dml_005	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT ALL INTO t (a) VALUES (1) INTO t (a) VALUES (2) SELECT 1 FROM dual	none	none	23ai	insert all
compat_dml_006	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT FIRST WHEN 1 = 1 THEN INTO t (a) VALUES (1) SELECT 1 FROM dual	none	none	23ai	insert first
compat_dml_007	A	dml	UPDATE.bnf	parse_only	accept	syntax	UPDATE t SET a = 1	none	none	23ai	update set
compat_dml_008	A	dml	UPDATE.bnf	parse_only	accept	syntax	UPDATE t SET a = 1, b = 2 WHERE id = 3	none	none	23ai	update multiple
compat_dml_009	A	dml	UPDATE.bnf	parse_only	accept	syntax	UPDATE t SET a = (SELECT 1 FROM dual) WHERE id = 1	none	none	23ai	update subquery
compat_dml_010	A	dml	DELETE.bnf	parse_only	accept	syntax	DELETE FROM t WHERE id = 1	none	none	23ai	delete where
compat_dml_011	A	dml	DELETE.bnf	parse_only	accept	syntax	DELETE FROM t WHERE EXISTS (SELECT 1 FROM s WHERE s.id = t.id)	none	none	23ai	delete exists
compat_dml_012	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT INTO t (a) VALUES (1,	none	none	23ai	malformed values
compat_dml_013	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT INTO t (a VALUES (1)	none	none	23ai	missing close paren
compat_dml_014	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT INTO t VALUES	none	none	23ai	missing value source
compat_dml_015	A	dml	UPDATE.bnf	parse_only	reject	syntax	UPDATE t SET	none	none	23ai	missing assignment
compat_dml_016	A	dml	UPDATE.bnf	parse_only	reject	syntax	UPDATE t SET a =	none	none	23ai	missing update expr
compat_dml_017	A	dml	UPDATE.bnf	parse_only	reject	syntax	UPDATE SET a = 1	none	none	23ai	missing update target
compat_dml_018	A	dml	DELETE.bnf	parse_only	reject	syntax	DELETE FROM	none	none	23ai	missing delete target
compat_dml_019	A	dml	DELETE.bnf	parse_only	reject	syntax	DELETE FROM t WHERE	none	none	23ai	missing delete predicate
compat_merge_001	A	merge	MERGE.bnf	parse_only	accept	syntax	MERGE INTO t USING s ON (t.id = s.id) WHEN MATCHED THEN UPDATE SET t.x = s.x	none	none	23ai	merge update
compat_merge_002	A	merge	MERGE.bnf	parse_only	accept	syntax	MERGE INTO t USING s ON (t.id = s.id) WHEN NOT MATCHED THEN INSERT (id, x) VALUES (s.id, s.x)	none	none	23ai	merge insert
compat_merge_003	A	merge	MERGE.bnf	parse_only	accept	syntax	MERGE INTO t USING s ON (t.id = s.id) WHEN MATCHED THEN UPDATE SET t.x = s.x DELETE WHERE t.x = 0	none	none	23ai	merge update delete
compat_merge_004	A	merge	MERGE.bnf	parse_only	reject	syntax	MERGE INTO t USING s	none	none	23ai	missing on
compat_merge_005	A	merge	MERGE.bnf	parse_only	reject	syntax	MERGE INTO t USING s ON (t.id = s.id) WHEN	none	none	23ai	missing when branch
compat_merge_006	A	merge	MERGE.bnf	parse_only	reject	syntax	MERGE INTO t USING s ON (t.id = s.id) WHEN MATCHED THEN	none	none	23ai	missing action
compat_select_056	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT DISTINCT department_id FROM employees	none	none	23ai	distinct projection
compat_select_057	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT ALL department_id FROM employees	none	none	23ai	all projection
compat_select_058	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT salary sal FROM employees	none	none	23ai	implicit alias
compat_select_059	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT salary "SALARY ALIAS" FROM employees	none	none	23ai	quoted alias
compat_select_060	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT (1 + 2) * 3 FROM dual	none	none	23ai	parenthesized arithmetic
compat_select_061	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE salary <= 5000	none	none	23ai	less equal predicate
compat_select_062	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE last_name NOT LIKE 'S%'	none	none	23ai	not like predicate
compat_select_063	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE commission_pct IS NULL	none	none	23ai	is null predicate
compat_select_064	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE department_id NOT IN (SELECT department_id FROM departments)	none	none	23ai	not in subquery
compat_select_065	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE salary > ANY (SELECT salary FROM employees)	none	none	23ai	any subquery
compat_select_066	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE salary >= ALL (SELECT salary FROM employees)	none	none	23ai	all subquery
compat_select_067	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT (SELECT COUNT(*) FROM employees) FROM dual	none	none	23ai	scalar subquery
compat_select_068	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e WHERE EXISTS (SELECT 1 FROM departments d WHERE d.department_id = e.department_id)	none	none	23ai	correlated exists
compat_select_069	A	select	SELECT.bnf	parse_only	accept	syntax	WITH q1 AS (SELECT 1 a FROM dual), q2 AS (SELECT a + 1 b FROM q1) SELECT b FROM q2	none	none	23ai	multiple cte
compat_select_070	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 1 FROM dual WHERE 1 = 1	none	none	23ai	where without from object
compat_select_071	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees CROSS JOIN departments	none	none	23ai	cross join
compat_select_072	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e RIGHT OUTER JOIN departments d ON e.department_id = d.department_id	none	none	23ai	right outer join
compat_select_073	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e FULL OUTER JOIN departments d ON e.department_id = d.department_id	none	none	23ai	full outer join
compat_select_074	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees JOIN departments USING (department_id)	none	none	23ai	join using
compat_select_075	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees NATURAL JOIN departments	none	none	23ai	natural join
compat_select_076	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees WHERE department_id = (SELECT department_id FROM departments WHERE department_id = 10)	none	none	23ai	scalar subquery predicate
compat_select_077	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, SUM(salary) FROM employees GROUP BY department_id ORDER BY department_id	none	none	23ai	group order
compat_select_078	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT COUNT(DISTINCT department_id) FROM employees	none	none	23ai	distinct aggregate
compat_select_079	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT MIN(salary) KEEP (DENSE_RANK FIRST ORDER BY employee_id) FROM employees	none	none	23ai	keep dense rank
compat_select_080	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT LISTAGG(last_name, ',') WITHIN GROUP (ORDER BY last_name) FROM employees	none	none	23ai	listagg
compat_select_081	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT ROW_NUMBER() OVER (ORDER BY employee_id) FROM employees	none	none	23ai	row number analytic
compat_select_082	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT LAG(salary, 1) OVER (ORDER BY employee_id) FROM employees	none	none	23ai	lag analytic
compat_select_083	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT LEAD(salary, 1) OVER (ORDER BY employee_id) FROM employees	none	none	23ai	lead analytic
compat_select_084	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT FIRST_VALUE(salary) OVER (ORDER BY employee_id) FROM employees	none	none	23ai	first value analytic
compat_select_085	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT SUM(salary) OVER (ORDER BY employee_id ROWS BETWEEN 1 PRECEDING AND CURRENT ROW) FROM employees	none	none	23ai	window frame
compat_select_086	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees ORDER BY employee_id FETCH FIRST 10 PERCENT ROWS ONLY	none	none	23ai	fetch percent
compat_select_087	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees ORDER BY employee_id FETCH FIRST 5 ROWS WITH TIES	none	none	23ai	fetch with ties
compat_select_088	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees ORDER BY employee_id OFFSET 5 ROWS	none	none	23ai	offset only
compat_select_089	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees FOR UPDATE	none	none	23ai	for update
compat_select_090	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees FOR UPDATE NOWAIT	none	none	23ai	for update nowait
compat_select_091	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees FOR UPDATE SKIP LOCKED	none	none	23ai	for update skip locked
compat_select_092	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees START WITH manager_id IS NULL CONNECT BY PRIOR employee_id = manager_id	none	none	23ai	hierarchical query
compat_select_093	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT LEVEL FROM dual CONNECT BY PRIOR 1 = 1	none	none	23ai	prior connect by expression
compat_select_094	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, job_id, SUM(salary) FROM employees GROUP BY ROLLUP(department_id, job_id)	none	none	23ai	multi rollup
compat_select_095	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, job_id, SUM(salary) FROM employees GROUP BY CUBE(department_id, job_id)	none	none	23ai	multi cube
compat_select_096	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT GROUPING(department_id), SUM(salary) FROM employees GROUP BY ROLLUP(department_id)	none	none	23ai	grouping function
compat_select_097	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, SUM(salary) FROM employees GROUP BY department_id HAVING SUM(salary) > 1000	none	none	23ai	having aggregate expression
compat_select_098	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees START WITH manager_id IS NULL CONNECT BY PRIOR employee_id = manager_id ORDER SIBLINGS BY employee_id	none	none	23ai	order siblings
compat_select_099	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees SAMPLE BLOCK (5)	none	none	23ai	sample block
compat_select_100	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees SAMPLE BLOCK (5) SEED (42)	none	none	23ai	sample seed
compat_select_101	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT JSON_VALUE('{"id":1}', '$.id') FROM dual	none	none	23ai	json_value
compat_select_102	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT JSON_QUERY('{"id":1}', '$') FROM dual	none	none	23ai	json_query
compat_select_103	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT JSON_EXISTS('{"id":1}', '$.id') FROM dual	none	none	23ai	json_exists
compat_select_104	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT XMLCAST(XMLQUERY('/r/id' PASSING XMLTYPE('<r><id>1</id></r>') RETURNING CONTENT) AS NUMBER) FROM dual	none	none	23ai	xmlquery xmlcast
compat_select_105	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees PIVOT (SUM(salary) FOR department_id IN (10 AS d10, 20 AS d20))	none	none	23ai	pivot
compat_select_106	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM (SELECT 1 id, 10 d10, 20 d20 FROM dual) UNPIVOT (amount FOR dept IN (d10 AS '10', d20 AS '20'))	none	none	23ai	unpivot
compat_select_107	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees MATCH_RECOGNIZE (ORDER BY employee_id MEASURES employee_id AS id PATTERN (A) DEFINE A AS salary > 0)	none	none	23ai	match recognize
compat_select_108	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e CROSS APPLY (SELECT e.employee_id id FROM dual) x	none	none	23ai	cross apply
compat_select_109	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e OUTER APPLY (SELECT e.employee_id id FROM dual) x	none	none	23ai	outer apply
compat_select_110	A	select	SELECT.bnf	parse_only	accept	semantic_catalog	SELECT employee_id, salary FROM employees MODEL DIMENSION BY (employee_id) MEASURES (salary) RULES (salary[employee_id] = salary[employee_id])	none	none	23ai	model clause semantic validation
compat_select_111	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE salary =	none	none	23ai	missing equality rhs
compat_select_112	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees ORDER BY employee_id NULLS	none	none	23ai	missing nulls direction
compat_select_113	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees FETCH NEXT ROWS ONLY	none	none	23ai	fetch next default count
compat_select_114	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees OFFSET ROWS	none	none	23ai	missing offset count
compat_select_115	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees GROUP BY ROLLUP(	none	none	23ai	unclosed rollup
compat_select_116	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees PIVOT (	none	none	23ai	missing pivot body
compat_select_117	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees FOR UPDATE OF	none	none	23ai	missing for update columns
compat_select_118	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees CONNECT BY PRIOR	none	none	23ai	missing prior expression
compat_select_119	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE EXISTS	none	none	23ai	missing exists subquery
compat_select_120	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE department_id NOT IN (	none	none	23ai	unclosed not in
compat_select_121	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT 1 FROM dual UNION ALL	none	none	23ai	trailing union all
compat_select_122	A	select	SELECT.bnf	parse_only	reject	syntax	SELECT * FROM employees WHERE last_name LIKE 'S%' ESCAPE	none	none	23ai	missing escape expression
compat_dml_020	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t VALUES (1, 2, 3, 4, 5, '{}')	none	none	23ai	insert all columns
compat_dml_021	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t (a, b) SELECT 1, 2 FROM dual	none	none	23ai	insert select multiple
compat_dml_022	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t (a) WITH q AS (SELECT 1 a FROM dual) SELECT a FROM q	none	none	23ai	insert with select
compat_dml_023	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t (a) VALUES (DEFAULT)	none	none	23ai	insert default expression
compat_dml_024	A	dml	UPDATE.bnf	parse_only	accept	syntax	UPDATE t SET a = DEFAULT WHERE id = 1	none	none	23ai	update default
compat_dml_025	A	dml	UPDATE.bnf	parse_only	accept	syntax	UPDATE t SET (a, b) = (SELECT 1, 2 FROM dual) WHERE id = 1	none	none	23ai	update row subquery
compat_dml_026	A	dml	UPDATE.bnf	parse_only	accept	syntax	UPDATE (SELECT a FROM t) SET a = 1	none	none	23ai	update inline view
compat_dml_027	A	dml	DELETE.bnf	parse_only	accept	syntax	DELETE t WHERE id = 1	none	none	23ai	delete without from
compat_dml_028	A	dml	DELETE.bnf	parse_only	accept	syntax	DELETE FROM (SELECT * FROM t) WHERE id = 1	none	none	23ai	delete inline view
compat_dml_029	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT ALL WHEN 1 = 1 THEN INTO t(a) VALUES(1) SELECT 1 FROM dual	none	none	23ai	insert all conditional
compat_dml_030	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT ALL INTO t(a) VALUES(1) SELECT 1 FROM dual	none	none	23ai	insert all single branch
compat_dml_031	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT FIRST WHEN 1 = 0 THEN INTO t(a) VALUES(1) ELSE INTO t(a) VALUES(2) SELECT 1 FROM dual	none	none	23ai	insert first else
compat_dml_032	A	dml	UPDATE.bnf	parse_only	accept	syntax	UPDATE t SET a = a + 1 RETURNING a INTO :out_a	none	none	23ai	update returning
compat_dml_033	A	dml	DELETE.bnf	parse_only	accept	syntax	DELETE FROM t WHERE id = :id RETURNING id INTO :out_id	none	none	23ai	delete returning
compat_dml_034	A	dml	INSERT.bnf	parse_only	accept	syntax	INSERT INTO t(a) VALUES(1) RETURNING a INTO :out_a	none	none	23ai	insert returning
compat_dml_035	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT INTO t (a,) VALUES (1)	none	none	23ai	trailing insert column comma
compat_dml_036	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT INTO t (a) VALUES ()	none	none	23ai	empty values
compat_dml_037	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT INTO t (a) SELECT FROM dual	none	none	23ai	insert select missing expression
compat_dml_038	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT ALL INTO t(a) VALUES(1)	none	none	23ai	insert all missing select
compat_dml_039	A	dml	UPDATE.bnf	parse_only	reject	syntax	UPDATE t SET a = 1 WHERE	none	none	23ai	update missing predicate
compat_dml_040	A	dml	UPDATE.bnf	parse_only	reject	syntax	UPDATE t SET a = , b = 2	none	none	23ai	update missing assignment expr
compat_dml_041	A	dml	UPDATE.bnf	parse_only	reject	syntax	UPDATE t SET (a, b) = (SELECT 1 FROM dual)	none	none	23ai	update row subquery arity
compat_dml_042	A	dml	DELETE.bnf	parse_only	reject	syntax	DELETE t WHERE	none	none	23ai	delete missing predicate without from
compat_dml_043	A	dml	DELETE.bnf	parse_only	reject	syntax	DELETE FROM t RETURNING INTO :x	none	none	23ai	delete returning missing expr
compat_dml_044	A	dml	INSERT.bnf	parse_only	reject	syntax	INSERT FIRST WHEN THEN INTO t(a) VALUES(1) SELECT 1 FROM dual	none	none	23ai	insert first missing condition
compat_merge_007	A	merge	MERGE.bnf	parse_only	accept	syntax	MERGE INTO t USING s ON (t.id = s.id) WHEN MATCHED THEN UPDATE SET t.x = s.x WHEN NOT MATCHED THEN INSERT (id, x) VALUES (s.id, s.x)	none	none	23ai	merge matched and not matched
compat_merge_008	A	merge	MERGE.bnf	parse_only	accept	syntax	MERGE INTO t USING s ON (t.id = s.id) WHEN MATCHED THEN UPDATE SET t.x = s.x WHERE s.x > 0	none	none	23ai	merge update where
